,,Tier,Name,Level,Effect,Existingeffect,Neweffect,CostRaw,Costcustomizable,,Tier_4
,,1,Comfortable Nests,1,Laying Increase,0%,10%,7.126,6.77,,Tier_5
,,1,Comfortable Nests,2,Laying Increase,10%,20%,44.642,42.41,,Tier_6
,,1,Comfortable Nests,3,Laying Increase,20%,30%,89.463,84.99,,Tier_7
,,1,Comfortable Nests,4,Laying Increase,30%,40%,146.053,138.75,,Tier_8
,,1,Comfortable Nests,5,Laying Increase,40%,50%,214.474,203.75,,Tier_9
,,1,Comfortable Nests,6,Laying Increase,50%,60%,301.316,286.25,,Tier_10
,,1,Comfortable Nests,7,Laying Increase,60%,70%,405.263,385.,,Tier_11
,,1,Comfortable Nests,8,Laying Increase,70%,80%,535.526,508.75,,Tier_12
,,1,Comfortable Nests,9,Laying Increase,80%,90%,692.105,657.5,,Tier_13
,,1,Comfortable Nests,10,Laying Increase,90%,100%,885.526,841.25,,
,,1,Comfortable Nests,11,Laying Increase,100%,110%,1.122K,1.066K,,
,,1,Comfortable Nests,12,Laying Increase,110%,120%,1.409K,1.339K,,
,,1,Comfortable Nests,13,Laying Increase,120%,130%,1.763K,1.675K,,
,,1,Comfortable Nests,14,Laying Increase,130%,140%,2.188K,2.079K,,
,,1,Comfortable Nests,15,Laying Increase,140%,150%,2.714K,2.579K,,
,,1,Comfortable Nests,16,Laying Increase,150%,160%,3.341K,3.174K,,
,,1,Comfortable Nests,17,Laying Increase,160%,170%,4.124K,3.918K,,
,,1,Comfortable Nests,18,Laying Increase,170%,180%,5.043K,4.791K,,
,,1,Comfortable Nests,19,Laying Increase,180%,190%,6.203K,5.893K,,
,,1,Comfortable Nests,20,Laying Increase,190%,200%,7.557K,7.179K,,
,,1,Comfortable Nests,21,Laying Increase,200%,210%,9.262K,8.799K,,
,,1,Comfortable Nests,22,Laying Increase,210%,220%,11.264K,10.701K,,
,,1,Comfortable Nests,23,Laying Increase,220%,230%,13.751K,13.064K,,
,,1,Comfortable Nests,24,Laying Increase,230%,240%,16.705K,15.870K,,
,,1,Comfortable Nests,25,Laying Increase,240%,250%,20.325K,19.309K,,
,,1,Comfortable Nests,26,Laying Increase,250%,260%,24.674K,23.440K,,
,,1,Comfortable Nests,27,Laying Increase,260%,270%,29.933K,28.436K,,
,,1,Comfortable Nests,28,Laying Increase,270%,280%,36.316K,34.500K,,
,,1,Comfortable Nests,29,Laying Increase,280%,290%,43.946K,41.749K,,
,,1,Comfortable Nests,30,Laying Increase,290%,300%,53.296K,50.631K,,
,,1,Comfortable Nests,31,Laying Increase,300%,310%,64.347K,61.130K,,
,,1,Comfortable Nests,32,Laying Increase,310%,320%,78.017K,74.116K,,
,,1,Comfortable Nests,33,Laying Increase,320%,330%,94.005K,89.305K,,
,,1,Comfortable Nests,34,Laying Increase,330%,340%,113.951K,108.254K,,
,,1,Comfortable Nests,35,Laying Increase,340%,350%,137.095K,130.240K,,
,,1,Comfortable Nests,36,Laying Increase,350%,360%,166.103K,157.798K,,
,,1,Comfortable Nests,37,Laying Increase,360%,370%,199.893K,189.899K,,
,,1,Comfortable Nests,38,Laying Increase,370%,380%,241.687K,229.603K,,
,,1,Comfortable Nests,39,Laying Increase,380%,390%,290.943K,276.396K,,
,,1,Comfortable Nests,40,Laying Increase,390%,400%,351.089K,333.535K,,
,,1,Comfortable Nests,41,Laying Increase,400%,410%,422.779K,401.640K,,
,,1,Comfortable Nests,42,Laying Increase,410%,420%,509.249K,483.786K,,
,,1,Comfortable Nests,43,Laying Increase,420%,430%,613.436K,582.764K,,
,,1,Comfortable Nests,44,Laying Increase,430%,440%,737.634K,700.753K,,
,,1,Comfortable Nests,45,Laying Increase,440%,450%,888.833K,844.391K,,
,,1,Comfortable Nests,46,Laying Increase,450%,460%,1.067M,1.014M,,
,,1,Comfortable Nests,47,Laying Increase,460%,470%,1.286M,1.222M,,
,,1,Comfortable Nests,48,Laying Increase,470%,480%,1.542M,1.465M,,
,,1,Comfortable Nests,49,Laying Increase,480%,490%,1.859M,1.766M,,
,,1,Comfortable Nests,50,Laying Increase,490%,500%,2.225M,2.114M,,
,,1,Nutritional Supplements,1,Value Increase,0%,25%,30.513,28.988,,
,,1,Nutritional Supplements,2,Value Increase,25%,50%,256.579,243.75,,
,,1,Nutritional Supplements,3,Value Increase,50%,75%,559.211,531.25,,
,,1,Nutritional Supplements,4,Value Increase,75%,100%,953.947,906.25,,
,,1,Nutritional Supplements,5,Value Increase,100%,125%,1.492K,1.418K,,
,,1,Nutritional Supplements,6,Value Increase,125%,150%,2.193K,2.084K,,
,,1,Nutritional Supplements,7,Value Increase,150%,175%,3.113K,2.958K,,
,,1,Nutritional Supplements,8,Value Increase,175%,200%,4.349K,4.131K,,
,,1,Nutritional Supplements,9,Value Increase,200%,225%,5.945K,5.648K,,
,,1,Nutritional Supplements,10,Value Increase,225%,250%,8.051K,7.649K,,
,,1,Nutritional Supplements,11,Value Increase,250%,275%,10.830K,10.289K,,
,,1,Nutritional Supplements,12,Value Increase,275%,300%,14.407K,13.686K,,
,,1,Nutritional Supplements,13,Value Increase,300%,325%,19.147K,18.190K,,
,,1,Nutritional Supplements,14,Value Increase,325%,350%,25.316K,24.050K,,
,,1,Nutritional Supplements,15,Value Increase,350%,375%,33.220K,31.559K,,
,,1,Nutritional Supplements,16,Value Increase,375%,400%,43.761K,41.573K,,
,,1,Nutritional Supplements,17,Value Increase,400%,425%,57.292K,54.428K,,
,,1,Nutritional Supplements,18,Value Increase,425%,450%,74.696K,70.961K,,
,,1,Nutritional Supplements,19,Value Increase,450%,475%,97.776K,92.888K,,
,,1,Nutritional Supplements,20,Value Increase,475%,500%,127.195K,120.835K,,
,,1,Nutritional Supplements,21,Value Increase,500%,525%,165.362K,157.094K,,
,,1,Nutritional Supplements,22,Value Increase,525%,550%,215.283K,204.519K,,
,,1,Nutritional Supplements,23,Value Increase,550%,575%,278.764K,264.826K,,
,,1,Nutritional Supplements,24,Value Increase,575%,600%,361.804K,343.714K,,
,,1,Nutritional Supplements,25,Value Increase,600%,625%,469.041K,445.589K,,
,,1,Nutritional Supplements,26,Value Increase,625%,650%,605.159K,574.901K,,
,,1,Nutritional Supplements,27,Value Increase,650%,675%,784.591K,745.361K,,
,,1,Nutritional Supplements,28,Value Increase,675%,700%,1.014M,0.963M,,
,,1,Nutritional Supplements,29,Value Increase,700%,725%,1.305M,1.240M,,
,,1,Nutritional Supplements,30,Value Increase,725%,750%,1.689M,1.605M,,
,,1,Nutritional Supplements,31,Value Increase,750%,775%,2.176M,2.067M,,
,,1,Nutritional Supplements,32,Value Increase,775%,800%,2.801M,2.661M,,
,,1,Nutritional Supplements,33,Value Increase,800%,825%,3.616M,3.435M,,
,,1,Nutritional Supplements,34,Value Increase,825%,850%,4.645M,4.413M,,
,,1,Nutritional Supplements,35,Value Increase,850%,875%,5.980M,5.681M,,
,,1,Nutritional Supplements,36,Value Increase,875%,900%,7.700M,7.315M,,
,,1,Nutritional Supplements,37,Value Increase,900%,925%,9.870M,9.377M,,
,,1,Nutritional Supplements,38,Value Increase,925%,950%,12.709M,12.073M,,
,,1,Nutritional Supplements,39,Value Increase,950%,975%,16.324M,15.508M,,
,,1,Nutritional Supplements,40,Value Increase,975%,1000%,20.884M,19.840M,,
,,1,Better Incubators,1,Hatchery Refill Rate,0%,10%,243.421,231.25,,
,,1,Better Incubators,2,Hatchery Refill Rate,10%,20%,503.947,478.75,,
,,1,Better Incubators,3,Hatchery Refill Rate,20%,30%,857.895,815.,,
,,1,Better Incubators,4,Hatchery Refill Rate,30%,40%,1.337K,1.270K,,
,,1,Better Incubators,5,Hatchery Refill Rate,40%,50%,1.997K,1.898K,,
,,1,Better Incubators,6,Hatchery Refill Rate,50%,60%,2.903K,2.758K,,
,,1,Better Incubators,7,Hatchery Refill Rate,60%,70%,4.118K,3.913K,,
,,1,Better Incubators,8,Hatchery Refill Rate,70%,80%,5.751K,5.464K,,
,,1,Better Incubators,9,Hatchery Refill Rate,80%,90%,8.009K,7.609K,,
,,1,Better Incubators,10,Hatchery Refill Rate,90%,100%,11.030K,10.479K,,
,,1,Better Incubators,11,Hatchery Refill Rate,100%,110%,15.061K,14.308K,,
,,1,Better Incubators,12,Hatchery Refill Rate,110%,120%,20.524K,19.498K,,
,,1,Better Incubators,13,Hatchery Refill Rate,120%,130%,27.905K,26.510K,,
,,1,Better Incubators,14,Hatchery Refill Rate,130%,140%,37.712K,35.826K,,
,,1,Better Incubators,15,Hatchery Refill Rate,140%,150%,50.726K,48.190K,,
,,1,Excitable Chickens,1,Egg Value / Running Chick,0.0%,0.1%,15.092,14.338,,
,,1,Excitable Chickens,2,Egg Value / Running Chick,0.1%,0.2%,890.789,846.25,,
,,1,Excitable Chickens,3,Egg Value / Running Chick,0.2%,0.3%,2.903K,2.758K,,
,,1,Excitable Chickens,4,Egg Value / Running Chick,0.3%,0.4%,7.420K,7.049K,,
,,1,Excitable Chickens,5,Egg Value / Running Chick,0.4%,0.5%,17.397K,16.528K,,
,,1,Excitable Chickens,6,Egg Value / Running Chick,0.5%,0.6%,39.146K,37.189K,,
,,1,Excitable Chickens,7,Egg Value / Running Chick,0.6%,0.7%,86.054K,81.751K,,
,,1,Excitable Chickens,8,Egg Value / Running Chick,0.7%,0.8%,186.349K,177.031K,,
,,1,Excitable Chickens,9,Egg Value / Running Chick,0.8%,0.9%,399.232K,379.270K,,
,,1,Excitable Chickens,10,Egg Value / Running Chick,0.9%,1.0%,850.655K,808.123K,,
,,1,Excitable Chickens,11,Egg Value / Running Chick,1.0%,1.1%,1.802M,1.711M,,
,,1,Excitable Chickens,12,Egg Value / Running Chick,1.1%,1.2%,3.793M,3.603M,,
,,1,Excitable Chickens,13,Egg Value / Running Chick,1.2%,1.3%,7.943M,7.546M,,
,,1,Excitable Chickens,14,Egg Value / Running Chick,1.3%,1.4%,16.561M,15.733M,,
,,1,Excitable Chickens,15,Egg Value / Running Chick,1.4%,1.5%,34.391M,32.671M,,
,,1,Excitable Chickens,16,Egg Value / Running Chick,1.5%,1.6%,71.165M,67.607M,,
,,1,Excitable Chickens,17,Egg Value / Running Chick,1.6%,1.7%,146.804M,139.464M,,
,,1,Excitable Chickens,18,Egg Value / Running Chick,1.7%,1.8%,302.932M,287.785M,,
,,1,Excitable Chickens,19,Egg Value / Running Chick,1.8%,1.9%,623.601M,592.421M,,
,,1,Excitable Chickens,20,Egg Value / Running Chick,1.9%,2.0%,1.280B,1.216B,,
,,1,Excitable Chickens,21,Egg Value / Running Chick,2.0%,2.1%,2.622B,2.491B,,
,,1,Excitable Chickens,22,Egg Value / Running Chick,2.1%,2.2%,5.358B,5.090B,,
,,1,Excitable Chickens,23,Egg Value / Running Chick,2.2%,2.3%,10.928B,10.381B,,
,,1,Excitable Chickens,24,Egg Value / Running Chick,2.3%,2.4%,22.242B,21.130B,,
,,1,Excitable Chickens,25,Egg Value / Running Chick,2.4%,2.5%,45.196B,42.936B,,
,,2,Hen House Remodel,1,Hab Capacity,0%,5%,5.359K,5.091K,,TOP
,,2,Hen House Remodel,2,Hab Capacity,5%,10%,9.878K,9.384K,,
,,2,Hen House Remodel,3,Hab Capacity,10%,15%,17.628K,16.746K,,
,,2,Hen House Remodel,4,Hab Capacity,15%,20%,30.786K,29.246K,,
,,2,Hen House Remodel,5,Hab Capacity,20%,25%,53.191K,50.531K,,
,,2,Hen House Remodel,6,Hab Capacity,25%,30%,91.332K,86.765K,,
,,2,Hen House Remodel,7,Hab Capacity,30%,35%,155.384K,147.615K,,
,,2,Hen House Remodel,8,Hab Capacity,35%,40%,262.179K,249.070K,,
,,2,Internal Hatcheries,1,Internal Hatchery Rate,0,2,17.864K,16.971K,,
,,2,Internal Hatcheries,2,Internal Hatchery Rate,2,4,58.349K,55.431K,,
,,2,Internal Hatcheries,3,Internal Hatchery Rate,4,6,174.879K,166.135K,,
,,2,Internal Hatcheries,4,Internal Hatchery Rate,6,8,508.033K,482.631K,,
,,2,Internal Hatcheries,5,Internal Hatchery Rate,8,10,1.440M,1.368M,,
